company_id,name,industry,description,year_founded,employees,state,city,area,revenue,expenses,profit,growth
1,Over-Hex,Software,"Provides a Web-based CRM tool that allows hospice and home care companies to target new sales opportunities, cut down on administrative tasks, monitor marketing compliance and protect referral source information.",2006,25,TN,Franklin,Nashville,"$10,684,527","$1,130,700","$9,553,827",334%
2,Unimattax,IT Services,"Helps law firms use Thomson Reuters Elite practice management software more effectively, providing implementation, training, customization and upgrades.",2009,36,PA,Newtown Square,Philadelphia,"$9,016,543","$804,035","$8,212,507",65%
3,Lexila,Real Estate,"Offers investment, construction, residential, commercial, and brokerage services.",2013,38,IL,Tinley Park,Chicago,"$12,456,642","$2,149,297","$10,307,345",520%
4,Greenfax,Retail,A Verizon Wireless premium retailer that offers products and services throughout its 36 retail locations.,2012,320,SC,Greenville,"Newberry, SC","$7,746,272","$1,044,375","$6,701,897",317%
5,Saoace,Energy,"An energy efficiency consulting firm that works with business owners to educate them on cutting costs, increasing productivity and profitability, and reducing negative effects energy consumption has on air quality and water supply.",2009,24,WI,New Holstein,"Appleton, WI","$10,725,585","$2,694,644","$8,030,941",312%
6,Donplus,Advertising & Marketing,"Offers public relations consulting services to food and beverage, baby and children's products, and franchise and lifestyle clients to create ROI driven campaigns, land strategic media placement opportunities, and deliver results for its clients.",2009,26,CA,Los Angeles,Los Angeles,"$7,798,447","$3,206,652","$4,591,796",560%
7,Blacklane,IT Services,"Provides technology support services with a focus on managed services, infrastructure implementation, and custom software development. The company doesn't sell software products, but prefers to partner with distributors who do so as to grow a wider customer base.",2011,66,CA,Orange,Los Angeles,"$10,359,369","$4,631,808","$5,727,561",564%
8,Toughtam,Logistics & Transportation,"An asset-backed, third-party logistics company providing full truckload, less than truckload, heavy haul, tanker, expedited, flatbed, and specialized transportation services across North America.",2011,20,AL,Birmingham,"Birmingham-Hoover, AL","$8,501,568","$371,849","$8,129,720",267%
9,Zimlane,Human Resources,"Provides staff for engineering, IT, clerical, and technical positions for the automotive, aerospace, and robotic automation industries.",2010,675,MI,Troy,Detroit,"$6,329,644","$1,716,657","$4,612,987",323%
10,Quotelane,Advertising & Marketing,"A media buying agency for all types of broadcasting: TV, radio, national cable networks, and satellite.",2013,4,SC,Greenville,"Greenville-Mauldin-Easley, SC","$9,227,504","$3,282,018","$5,945,486",400%
11,Ganzzap,Advertising & Marketing,"Specializes in reaching business professionals online wherever they travel Bizo can precisely target more than 120 million professionals around the world, including more than 80 percent of the U.S. business population.",2011,133,CA,San Francisco,San Francisco,"$6,836,807","$6,515,505","$321,302",313%
12,Yearflex,Software,Offers cloud-based practice management and electronic health record information systems for the optometry community.,2013,45,WI,Madison,"Madison, WI","$9,567,910","$4,374,841","$5,193,069",451%
13,Indigoplanet,IT Services,"Offers enterprise-level Drupal development to create robust, high-performance, dynamic websites for its clients. Reaction also provides strategic planning, creative design and expert project management services.",2013,60,NJ,Manalapan,New York City,"$7,805,452","$4,626,275","$3,179,177",488%
14,Indigoholding,Logistics & Transportation,"An international logistics company that simplifies relations among vendors, more than 2,500 customers, 68 of its own trucking units and a database of 22,500 carriers nationwide.",2009,78,OH,Blue Ash,Cincinnati,"$9,812,558","$4,684,563","$5,127,995",439%
15,Lexinamex,Insurance,"Provides back-end financial management services for health benefit administrators, health plans, private exchanges, and state governments in all 50 states.",2013,87,NE,Omaha,"Omaha-Council Bluffs, NE-IA","$13,058,157","$4,403,888","$8,654,269",372%
16,Treslam,Financial Services,"A payment processor serving sales agents, financial institutions and merchants with services and benefits including next-day funding with a late cut-off time and graphical, Web-based reporting.",2009,116,MO,Clayton,"St. Louis, MO-IL","$3,387,469","$4,127,984","-$740,514",354%
17,O-Tindax,Insurance,"An IT consultancy exclusively focused on SAP integration, applications, analytics, training, and staff augmentation.",2010,2,PA,Bethel Park,"Pittsburgh, PA","$6,747,855","$2,343,975","$4,403,879",378%
18,Doublelane,Food & Beverage,A family-owned restaurant business that offers live music in addition to a Southern food menu. It hires from within the community it serves when expanding its business.,2012,515,TN,Franklin,Nashville,"$9,526,170","$3,633,057","$5,893,113",393%
19,Rednimdox,Construction,"An electrical contractor that offers electrical and power services, from core and shell construction and complex power installations to sophisticated wiring installations for multi-floor fit-outs and complex life safety control installations.",2013,73,NY,Woodside,New York City,"$7,305,865","$3,601,877","$3,703,988",261%
20,Lamtone,IT Services,"Helps companies simplify IT operations by building and integrating data center operations. Kovarus has expertise in virtualization, storage and cloud platforms.",2009,55,CA,San Ramon,San Francisco,"$6,757,018","$6,482,465","$274,552",439%
